Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %,Nap
2024-02-16 01:39:46,2024-02-17 01:29:47,UTC-08:00,2024-02-16 01:39:46,2024-02-16 10:31:22,94,15.6,454,531,284,72,98,77,484,13,85,82,false
2024-02-15 02:15:58,2024-02-16 01:39:46,UTC-08:00,2024-02-15 02:15:58,2024-02-15 11:05:33,96,13.4,468,529,208,119,141,61,489,24,88,80,false
2024-02-14 02:28:03,2024-02-15 02:15:58,UTC-08:00,2024-02-14 02:28:03,2024-02-14 10:57:23,92,13.5,467,504,299,79,89,37,505,42,94,69,false
2024-02-13 03:41:20,2024-02-14 02:28:03,UTC-08:00,2024-02-13 03:41:20,2024-02-13 11:03:27,83,12.9,424,438,190,86,148,14,509,47,96,70,false
2024-02-12 03:19:12,2024-02-13 03:41:20,UTC-08:00,2024-02-12 03:19:12,2024-02-12 11:51:34,80,13.1,369,512,231,70,68,143,464,1,72,55,false
2024-02-11 04:39:18,2024-02-12 03:19:12,UTC-08:00,2024-02-11 04:39:18,2024-02-11 13:02:04,99,12.5,460,500,219,104,137,40,462,0,93,34,false
2024-02-10 04:10:21,2024-02-11 04:39:18,UTC-08:00,2024-02-10 04:10:21,2024-02-10 10:57:29,100,13.4,352,407,188,75,89,55,274,0,89,,false
2024-02-09 02:43:34,2024-02-10 04:10:21,UTC-08:00,2024-02-09 12:30:02,2024-02-09 17:15:02,40,13.1,186,285,96,35,55,99,461,0,82,,true
2024-02-09 02:43:34,2024-02-10 04:10:21,UTC-08:00,2024-02-09 02:43:34,2024-02-09 08:00:21,24,12.8,110,131,65,24,21,21,461,0,83,33,false
2024-02-08 04:00:26,2024-02-09 02:43:34,UTC-08:00,2024-02-08 04:00:26,2024-02-08 11:29:34,20,12.5,90,96,32,34,24,6,461,0,95,23,false
2024-02-07 01:31:10,2024-02-08 04:00:26,UTC-08:00,2024-02-07 01:31:10,2024-02-07 08:00:57,37,15.6,171,205,78,54,39,34,461,0,90,55,false
2024-02-06 00:34:11,2024-02-07 01:31:10,UTC-08:00,2024-02-06 00:34:11,2024-02-06 09:59:44,100,17.2,519,565,351,99,69,46,468,96,91,48,false
2024-02-05 02:12:48,2024-02-06 00:34:11,UTC-08:00,2024-02-05 10:01:37,2024-02-05 11:44:58,17,18.1,97,103,78,9,10,6,558,96,94,,true
